id,Station,Sequence No,Function,Message,Address,Instruction,WIP No,Status
0,OP40,CONTROL,FUNC,Waiting for robot to be Safe for OMV Pick,Sta040.BOOLEANS.CONTROL[0],,,
1,OP40,CONTROL,FUNC,PI Screw Feeder Low,Sta040.BOOLEANS.CONTROL[1],,,
2,OP40,CONTROL,FUNC,NPI Screw Feeder Low,Sta040.BOOLEANS.CONTROL[2],,,
3,OP40,CONTROL,FUNC,PI Screw Possible Jam in Feed Track,Sta040.BOOLEANS.CONTROL[3],,,
4,OP40,CONTROL,FUNC,NPI Screw Possible Jam in Feed Track,Sta040.BOOLEANS.CONTROL[4],,,
5,OP40,CONTROL,FUNC, DB Update In Progress,Sta040.BOOLEANS.CONTROL[5],,,
6,OP40,CONTROL,FUNC,FTTM DB Update Complete,Sta040.BOOLEANS.CONTROL[6],,,
7,OP40,CONTROL,FUNC,FTTM DB Update Required,Sta040.BOOLEANS.CONTROL[7],,,
8,OP40,CONTROL,FUNC,Recipe Override Active,Sta040.BOOLEANS.CONTROL[8],,,
9,OP40,CONTROL,FUNC,SPARE,SPARE,,,
10,OP40,CONTROL,FUNC,FTTM DB Update Required ONS,Sta040.BOOLEANS.CONTROL[10],,,
11,OP40,CONTROL,FUNC,Bypass Tray Handler Robot Requests,Sta040.BOOLEANS.CONTROL[11],,,
12,OP40,CONTROL,FUNC,"When Recipe Bypassed: Injector Type 0=NPI, 1=PI",Sta040.BOOLEANS.CONTROL[12],,,
13,OP40,CONTROL,FUNC,SPARE,SPARE,,,
14,OP40,CONTROL,FUNC,"When Recipe Bypassed: Family Type 0=F2, 1=F3",Sta040.BOOLEANS.CONTROL[14],,,
15,OP40,CONTROL,FUNC,SPARE,SPARE,,,
16,OP40,CONTROL,FUNC,SPARE,SPARE,,,
17,OP40,CONTROL,FUNC,When Recipe Bypassed: Ball Type 0=Non-Magnetic 1=Magnetic,Sta040.BOOLEANS.CONTROL[17],,,
18,OP40,CONTROL,FUNC,SPARE,SPARE,,,
19,OP40,CONTROL,FUNC,Reset Nozzle Tray Pick Position to 1,Sta040.BOOLEANS.CONTROL[19],,,
20,OP40,CONTROL,FUNC,Reset NOMV Tray Pick Position to 1,Sta040.BOOLEANS.CONTROL[20],,,
21,OP40,CONTROL,FUNC,SPARE,SPARE,,,
22,OP40,CONTROL,FUNC,SPARE,SPARE,,,
23,OP40,CONTROL,FUNC,SPARE,SPARE,,,
24,OP40,CONTROL,FUNC,SPARE,SPARE,,,
25,OP40,CONTROL,FUNC,SPARE,SPARE,,,
26,OP40,CONTROL,FUNC,SPARE,SPARE,,,
27,OP40,CONTROL,FUNC,SPARE,SPARE,,,
28,OP40,CONTROL,FUNC,Guard Door Needs to See Transition to Open To Clear Fault ONS,Sta040.BOOLEANS.CONTROL[28],,,
29,OP40,CONTROL,FUNC,Guard Door Needs to See Transition to Open To Clear Fault ONE SHOT,Sta040.BOOLEANS.CONTROL[29],,,
30,OP40,CONTROL,FUNC,Non Pumping Part Previous Scan,Sta040.BOOLEANS.CONTROL[30],,,
