id,Station,Sequence No,Function,Message,Address,Instruction,WIP No,Status
0,OP40,INPUTS,,Pallet Lift raised complete,Sta040.A02INPUTS.BITS[0],,,
1,OP40,INPUTS,,Pallet Lift lowered complete,Sta040.A02INPUTS.BITS[1],,,
2,OP40,INPUTS,,Pallet Present at Stop,Sta040.A02INPUTS.BITS[2],,,
3,OP40,INPUTS,,SPARE,,,,
4,OP40,INPUTS,,Reject Drawer Locked,Sta040.A02INPUTS.BITS[4],,,
5,OP40,INPUTS,,Reject Drawer UnLocked,Sta040.A02INPUTS.BITS[5],,,
6,OP40,INPUTS,,OMV Present in Reject Drawer,Sta040.A02INPUTS.BITS[6],,,
7,OP40,INPUTS,,Nozzle NOMV Present in Reject Drawer,Sta040.A02INPUTS.BITS[7],,,
8,OP40,INPUTS,,Nozzle Body Present in Reject Drawer,Sta040.A02INPUTS.BITS[8],,,
9,OP40,INPUTS,,SPARE,SPARE,,,
10,OP40,INPUTS,,SPARE,SPARE,,,
11,OP40,INPUTS,,SPARE,SPARE,,,
12,OP40,INPUTS,,SPARE,SPARE,,,
13,OP40,INPUTS,,SPARE,SPARE,,,
14,OP40,INPUTS,,SPARE,SPARE,,,
15,OP40,INPUTS,,SPARE,SPARE,,,
16,OP40,INPUTS,,SPARE,SPARE,,,
17,OP40,INPUTS,,SPARE,SPARE,,,
18,OP40,INPUTS,,SPARE,SPARE,,,
19,OP40,INPUTS,,SPARE,SPARE,,,
20,OP40,INPUTS,,SPARE,SPARE,,,
21,OP40,INPUTS,,SPARE,SPARE,,,
22,OP40,INPUTS,,SPARE,SPARE,,,
23,OP40,INPUTS,,SPARE,SPARE,,,
24,OP40,INPUTS,,SPARE,SPARE,,,
25,OP40,INPUTS,,SPARE,SPARE,,,
26,OP40,INPUTS,,SPARE,SPARE,,,
27,OP40,INPUTS,,SPARE,SPARE,,,
28,OP40,INPUTS,,SPARE,SPARE,,,
29,OP40,INPUTS,,SPARE,SPARE,,,
30,OP40,INPUTS,,SPARE,SPARE,,,
31,OP40,INPUTS,,SPARE,SPARE,,,
