id,Station,Sequence No,Function,Message,Address,Instruction,WIP No,Status
0,OP40,OUTPUT,,Pallet Lift raise,Sta040.A60OUTPUTS.BITS[0],,,
1,OP40,OUTPUT,,Pallet Lift lower,Sta040.A60OUTPUTS.BITS[1],,,
2,OP40,OUTPUT,,SPARE,SPARE,,,
3,OP40,OUTPUT,,SPARE,SPARE,,,
4,OP40,OUTPUT,,SPARE,SPARE,,,
5,OP40,OUTPUT,,SPARE,SPARE,,,
6,OP40,OUTPUT,,SPARE,SPARE,,,
7,OP40,OUTPUT,,SPARE,SPARE,,,
8,OP40,OUTPUT,,SPARE,SPARE,,,
9,OP40,OUTPUT,,SPARE,SPARE,,,
10,OP40,OUTPUT,,SPARE,SPARE,,,
11,OP40,OUTPUT,,SPARE,SPARE,,,
12,OP40,OUTPUT,,SPARE,SPARE,,,
13,OP40,OUTPUT,,SPARE,SPARE,,,
14,OP40,OUTPUT,,SPARE,SPARE,,,
15,OP40,OUTPUT,,SPARE,SPARE,,,
16,OP40,OUTPUT,,SPARE,SPARE,,,
17,OP40,OUTPUT,,SPARE,SPARE,,,
18,OP40,OUTPUT,,SPARE,SPARE,,,
19,OP40,OUTPUT,,SPARE,SPARE,,,
20,OP40,OUTPUT,,SPARE,SPARE,,,
21,OP40,OUTPUT,,SPARE,SPARE,,,
22,OP40,OUTPUT,,SPARE,SPARE,,,
23,OP40,OUTPUT,,SPARE,SPARE,,,
24,OP40,OUTPUT,,SPARE,SPARE,,,
25,OP40,OUTPUT,,SPARE,SPARE,,,
26,OP40,OUTPUT,,SPARE,SPARE,,,
27,OP40,OUTPUT,,SPARE,SPARE,,,
28,OP40,OUTPUT,,SPARE,SPARE,,,
29,OP40,OUTPUT,,SPARE,SPARE,,,
30,OP40,OUTPUT,,SPARE,SPARE,,,
31,OP40,OUTPUT,,SPARE,SPARE,,,
