id,Station,Sequence No,Function,Message,Address,Instruction,WIP No,Status
0,OP40,RETURN,,SPARE,SPARE,,,
1,OP40,RETURN,,SPARE,SPARE,,,
2,OP40,RETURN,,SPARE,SPARE,,,
3,OP40,RETURN,,SPARE,SPARE,,,
4,OP40,RETURN,,SPARE,SPARE,,,
5,OP40,RETURN,,SPARE,SPARE,,,
6,OP40,RETURN,,SPARE,SPARE,,,
7,OP40,RETURN,,SPARE,SPARE,,,
8,OP40,RETURN,,SPARE,SPARE,,,
9,OP40,RETURN,,SPARE,SPARE,,,
10,OP40,RETURN,,Waiting for Tooling Clear of Pallet,Sta040.A49TOOLRETURN.STEP[10],,,
11,OP40,RETURN,,Tooling Clear of Pallet complete,Sta040.A49TOOLRETURN.STEP[11],,,
12,OP40,RETURN,,SPARE,SPARE,,,
13,OP40,RETURN,,SPARE,SPARE,,,
14,OP40,RETURN,,SPARE,SPARE,,,
15,OP40,RETURN,,SPARE,SPARE,,,
16,OP40,RETURN,,SPARE,SPARE,,,
17,OP40,RETURN,,SPARE,SPARE,,,
18,OP40,RETURN,,SPARE,SPARE,,,
19,OP40,RETURN,,SPARE,SPARE,,,
20,OP40,RETURN,,Pallet lower active,Sta040.A49TOOLRETURN.STEP[20],,,
21,OP40,RETURN,,Pallet lift lowered complete,Sta040.A49TOOLRETURN.STEP[21],,,
22,OP40,RETURN,,SPARE,SPARE,,,
23,OP40,RETURN,,SPARE,SPARE,,,
24,OP40,RETURN,,SPARE,SPARE,,,
25,OP40,RETURN,,SPARE,SPARE,,,
26,OP40,RETURN,,SPARE,SPARE,,,
27,OP40,RETURN,,SPARE,SPARE,,,
28,OP40,RETURN,,SPARE,SPARE,,,
29,OP40,RETURN,,SPARE,SPARE,,,
30,OP40,RETURN,,SPARE,SPARE,,,
31,OP40,RETURN,,SPARE,SPARE,,,
